IMDB_ID, Rank, Title
tt2488496,1,Star Wars: Episode VII - The Force Awakens
tt0499549,2,Avatar
tt0369610,3,Jurassic World
tt0848228,4,The Avengers
tt0468569,5,The Dark Knight
tt3748528,6,Rogue One
tt0120915,7,Star Wars: Episode I - The Phantom Menace
tt0076759,8,Star Wars: Episode IV - A New Hope
tt2395427,9,Avengers: Age of Ultron
tt1345836,10,The Dark Knight Rises
tt1951264,11,The Hunger Games: Catching Fire
tt0383574,12,Pirates of the Caribbean: Dead Man's Chest
tt1300854,13,Iron Man Three
tt3498820,14,Captain America: Civil War
tt1392170,15,The Hunger Games
tt0145487,16,Spider-Man
tt1055369,17,Transformers: Revenge of the Fallen
tt0121766,18,Star Wars: Episode III - Revenge of the Sith
tt0316654,19,Spider-Man 2
tt1431045,20,Deadpool
tt1399103,21,Transformers: Dark of the Moon
tt2179136,22,American Sniper
tt2820852,23,Furious 7
tt0413300,24,Spider-Man 3
tt2293640,25,Minions
tt2015381,26,Guardians of the Galaxy
tt2975590,27,Batman v Superman: Dawn of Justice
tt1386697,28,Suicide Squad
tt0418279,29,Transformers
tt0371746,30,Iron Man
tt0367882,31,Indiana Jones and the Kingdom of the Crystal Skull
tt1228705,32,Iron Man 2
tt0121765,33,Star Wars: Episode II - Attack of the Clones
tt0449088,34,Pirates of the Caribbean: At World's End
tt0086190,35,Star Wars: Episode VI - Return of the Jedi
tt0116629,36,Independence Day
tt0325980,37,Pirates of the Caribbean: The Curse of the Black Pearl
tt1074638,38,Skyfall
tt1375666,39,Inception
tt0770828,40,Man of Steel
tt0080684,41,Star Wars: Episode V - The Empire Strikes Back
tt1951266,42,The Hunger Games: Mockingjay - Part 2
tt0234215,43,The Matrix Reloaded
tt0948470,44,The Amazing Spider-Man
tt0317705,45,The Incredibles
tt1843866,46,Captain America: The Winter Soldier
tt1490017,47,The Lego Movie
tt0796366,48,Star Trek
tt0096895,49,Batman
tt2109248,50,Transformers: Age of Extinction
