start_country,end_country,start_lat,start_long,end_lat,end_long,count
Bangladesh,India,24,90,20,77,3789377.0
India,Pakistan,20,77,30,70,2512906.0
Turkey,Germany,39,35,51,9,2008979.0
Poland,Germany,52,20,51,9,1999975.0
Pakistan,India,30,70,20,77,1331659.0
Burkina Faso,Cote d'Ivoire,13,-2,8,-5,1252098.0
Algeria,France,28,3,46,2,1057135.0
India,Saudi Arabia,20,77,25,45,1007649.0
India,Bangladesh,20,77,24,90,936151.0
Indonesia,Malaysia,-5,120,2.5,112.5,885328.0
Poland,France,52,20,46,2,800387.0
Malaysia,Singapore,2.5,112.5,1.3667,103.8,725607.0
Nepal,India,28,84,20,77,649166.0
Pakistan,Saudi Arabia,30,70,25,45,638606.0
Italy,Germany,42.8333,12.8333,51,9,629291.0
India,Nepal,20,77,28,84,563571.0
Bulgaria,Turkey,43,25,39,35,480716.0
Bosnia and Herzegovina,Croatia,44,18,45.1667,15.5,459328.0
Mali,Cote d'Ivoire,17,-4,8,-5,444425.0
Jordan,Kuwait,31,36,29.3375,47.6581,434725.0
Albania,Greece,41,20,39,22,420838.0
Cote d'Ivoire,Burkina Faso,8,-5,13,-2,418038.0
Ukraine,Kazakhstan,49,32,48,68,402671.0
India,Sri Lanka,20,77,7,81,384789.0
Greece,Germany,39,22,51,9,367554.0
Bangladesh,Saudi Arabia,24,90,25,45,366007.0
Uganda,Kenya,1,32,1,38,351083.0
New Zealand,Australia,-41,174,-27,133,350498.0
China,Singapore,35,105,1.3667,103.8,348383.0
Italy,Switzerland,42.8333,12.8333,47,8,336726.0
China,Canada,35,105,60,-95,336302.0
China,Japan,35,105,36,138,335495.0
Paraguay,Argentina,-23,-58,-34,-64,331688.0
Ukraine,Poland,49,32,52,20,331462.0
Romania,Germany,46,25,51,9,324085.0
India,Canada,20,77,60,-95,313999.0
India,Oman,20,77,21,57,312053.0
Tunisia,France,34,9,46,2,310949.0
Italy,Canada,42.8333,12.8333,60,-95,310213.0
Poland,Belarus,52,20,53,28,291909.0
Indonesia,Saudi Arabia,-5,120,25,45,286600.0
Morocco,Italy,32,-5,42.8333,12.8333,286498.0
Albania,Italy,41,20,42.8333,12.8333,275300.0
Germany,Turkey,51,9,39,35,272995.0
Belarus,Ukraine,53,28,49,32,270751.0
Mozambique,South Africa,-18.25,35,-29,24,264572.0
Morocco,France,32,-5,46,2,262462.0
Germany,France,51,9,46,2,260042.0
Eritrea,Ethiopia,15,39,8,38,255018.0
Morocco,Spain,32,-5,40,-4,253173.0
Kazakhstan,Ukraine,48,68,49,32,245072.0
Uzbekistan,Ukraine,41,64,49,32,242390.0
Brazil,Japan,-10,-55,36,138,242246.0
Italy,France,42.8333,12.8333,46,2,236943.0
Nicaragua,Costa Rica,13,-85,10,-84,226582.0
Azerbaijan,Israel,40.5,47.5,31.5,34.75,225396.0
Croatia,Germany,45.1667,15.5,51,9,224721.0
Italy,Argentina,42.8333,12.8333,-34,-64,224155.0
China,Thailand,35,105,15,100,224153.0
Albania,Germany,41,20,51,9,221897.0
Chile,Argentina,-30,-71,-34,-64,219104.0
Italy,Australia,42.8333,12.8333,-27,133,216676.0
Poland,Ukraine,52,20,49,32,214578.0
Portugal,Brazil,39.5,-8,-10,-55,212917.0
Guadeloupe,France,16.25,-61.5833,46,2,208276.0
