Region,Country Name,Mobile users per capita,Population: Total (count),Year,Migration: Top 3 destinations,Migration: Top 3 sources
Asia,Afghanistan,0.00,25950816.0,2000,"[('Iran, Islamic Rep.', 762129.0), ('Kuwait', 88350.0), ('United States', 44893.0)]",
Europe,Albania,0.01,3071856.0,2000,"[('Greece', 420838.0), ('Italy', 275300.0), ('Germany', 221897.0)]",
Africa,Algeria,0.00,30533827.0,2000,"[('France', 1057135.0), ('Israel', 46734.0), ('United Kingdom', 40555.0)]",
Oceania,American Samoa,0.03,57625.0,2000,"[('United States', 16339.0), ('Samoa', 1920.0), ('New Zealand', 391.0)]",
Europe,Andorra,0.36,64634.0,2000,"[('Spain', 2888.0), ('France', 394.0), ('Portugal', 371.0)]",
Africa,Angola,0.00,13926373.0,2000,"[('Portugal', 167578.0), ('Namibia', 52200.0), ('United Kingdom', 33459.0)]",
The Americas,Antigua and Barbuda,0.28,77656.0,2000,"[('United States', 19151.0), ('Philippines', 5791.0), ('Virgin Islands (U.S.)', 4842.0)]",
The Americas,Argentina,0.18,36930709.0,2000,"[('United States', 133210.0), ('Spain', 83803.0), ('Paraguay', 64284.0)]",
Asia,Armenia,0.01,3076098.0,2000,"[('Russian Federation', 481328.0), ('United States', 99985.0), ('Azerbaijan', 89898.0)]",
The Americas,Aruba,0.17,90271.0,2000,"[('Netherlands Antilles', 3317.0), ('United States', 2101.0), ('Netherlands', 1104.0)]",
Oceania,Australia,0.45,19153000.0,2000,"[('United Kingdom', 113700.0), ('United States', 74459.0), ('New Zealand', 56375.0)]",
Europe,Austria,0.76,8011566.0,2000,"[('Germany', 189096.0), ('United States', 72126.0), ('Serbia and Montenegro', 61465.0)]",
Asia,Azerbaijan,0.05,8048600.0,2000,"[('Russian Federation', 846104.0), ('Israel', 225396.0), ('Armenia', 115689.0)]",
The Americas,"Bahamas, The",0.11,297651.0,2000,"[('United States', 30465.0), ('Canada', 1419.0), ('Turks and Caicos Islands', 940.0)]",
Middle East,Bahrain,0.32,638193.0,2000,"[('Thailand', 9980.0), ('Philippines', 8252.0), ('Indonesia', 4388.0)]",
Asia,Bangladesh,0.00,129592275.0,2000,"[('India', 3789377.0), ('Saudi Arabia', 366007.0), ('United Kingdom', 163655.0)]",
The Americas,Barbados,0.11,267511.0,2000,"[('United States', 54282.0), ('Canada', 14677.0), ('United Kingdom', 8194.0)]",
Europe,Belarus,0.00,10005000.0,2000,"[('Russian Federation', 935782.0), ('Ukraine', 270751.0), ('Poland', 113204.0)]",
Europe,Belgium,0.55,10251250.0,2000,"[('France', 53553.0), ('Netherlands', 43999.0), ('United States', 41849.0)]",
The Americas,Belize,0.07,249800.0,2000,"[('United States', 44013.0), ('Canada', 1472.0), ('France', 1262.0)]",
Africa,Benin,0.01,6517810.0,2000,"[('Nigeria', 157826.0), ('Togo', 64427.0), (""Cote d'Ivoire"", 60847.0)]",
The Americas,Bermuda,0.21,62100.0,2000,"[('United States', 15254.0), ('Canada', 2128.0), ('Australia', 362.0)]",
Asia,Bhutan,0.00,571262.0,2000,"[('India', 7945.0), ('Nepal', 2362.0), ('Pakistan', 398.0)]",
The Americas,Bolivia,0.07,8307248.0,2000,"[('Argentina', 237213.0), ('United States', 53658.0), ('Brazil', 20394.0)]",
Europe,Bosnia and Herzegovina,0.03,3693698.0,2000,"[('Croatia', 459328.0), ('Germany', 186646.0), ('Austria', 152381.0)]",
Africa,Botswana,0.13,1757925.0,2000,"[('South Africa', 17676.0), ('Malawi', 8438.0), ('Mozambique', 3892.0)]",
The Americas,Brazil,0.13,174425387.0,2000,"[('Japan', 242246.0), ('United States', 225330.0), ('Paraguay', 82987.0)]",
Asia,Brunei Darussalam,0.29,327036.0,2000,"[('India', 30378.0), ('Malaysia', 5007.0), ('Canada', 4280.0)]",
Europe,Bulgaria,0.09,8170172.0,2000,"[('Turkey', 480716.0), ('United States', 36019.0), ('Greece', 33726.0)]",
Africa,Burkina Faso,0.00,12294012.0,2000,"[(""Cote d'Ivoire"", 1252098.0), ('Ghana', 31964.0), ('Niger', 27134.0)]",
Africa,Burundi,0.00,6374347.0,2000,"[('Tanzania', 72272.0), ('Sudan', 51746.0), ('Rwanda', 34616.0)]",
Asia,Cambodia,0.01,12446949.0,2000,"[('United States', 140684.0), ('Germany', 46299.0), ('Thailand', 29620.0)]",
Africa,Cameroon,0.01,15678269.0,2000,"[('Chad', 35126.0), ('Gabon', 23481.0), ('Nigeria', 16735.0)]",
