IP	Ident	Userid	Timestamp	Timezone	HTTP_Request	HTTP_Status	HTTP_Duration	HTTP_Referer	Browser_Type
195.82.31.125	-	-	[09/Mar/2004:22:03:12	-0500]	POST http://www.goldengate.hu/cgi-bin/top/topsites.cgi HTTP/1.0	302	284	http://www.goldengate.hu/cgi-bin/top/topsites.cgi?an12	Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)
192.117.242.67	-	-	[09/Mar/2004:22:04:29	-0500]	CONNECT login.icq.com:443 HTTP/1.0	200	-	-	-
192.117.242.67	-	-	[09/Mar/2004:22:04:29	-0500]	CONNECT login.icq.com:443 HTTP/1.0	200	-	-	-
192.117.242.67	-	-	[09/Mar/2004:22:07:11	-0500]	CONNECT login.icq.com:443 HTTP/1.0	200	-	-	-
203.121.182.190	-	-	[09/Mar/2004:22:07:16	-0500]	\x04\x01	501	-	-	-
61.172.244.109	-	-	[09/Mar/2004:22:08:13	-0500]	CONNECT 195.228.231.51:25 HTTP/1.0	500	434	-	-
203.61.199.63	-	-	[09/Mar/2004:22:08:53	-0500]	GET http://hpcgi1.com/trino/ProxyJ/prxjdg.cgi HTTP/1.0	500	428	-	Mozilla/3.0 (compatible)
203.121.182.141	-	-	[09/Mar/2004:22:09:34	-0500]	CONNECT 202.96.254.200:25 HTTP/1.0	200	-	-	-
192.117.242.67	-	-	[09/Mar/2004:22:09:38	-0500]	CONNECT login.icq.com:443 HTTP/1.0	200	-	-	-
192.117.242.67	-	-	[09/Mar/2004:22:09:38	-0500]	CONNECT login.icq.com:443 HTTP/1.0	200	-	-	-
24.168.72.174	-	-	[09/Mar/2004:22:11:38	-0500]	GET http://sbc1.login.scd.yahoo.com/config/login?.redir_from=PROFILES?&.tries=1&.src=jpg&.last=&promo=&.intl=us&.bypass=&.partner=&.chkP=Y&.done=http://jpager.yahoo.com/jpager/pager2.shtml&login=exodus_510&passwd=matthew HTTP/1.0	200	566	-	-
192.117.242.67	-	-	[09/Mar/2004:22:12:19	-0500]	CONNECT login.icq.com:443 HTTP/1.0	200	-	-	-
218.78.209.42	-	-	[09/Mar/2004:22:12:33	-0500]	CONNECT 209.15.20.26:25 HTTP/1.0	200	-	-	-
203.121.182.145	-	-	[09/Mar/2004:22:12:55	-0500]	CONNECT 211.22.130.68:25 HTTP/1.0	200	-	-	-
195.116.208.249	-	-	[09/Mar/2004:22:13:30	-0500]	GET http://sit0.com/foo.php HTTP/1.1	200	84	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)
195.116.208.249	-	-	[09/Mar/2004:22:13:30	-0500]	CONNECT www.bzwbk.pl:443 HTTP/1.1	400	381	-	-
